"id","radon_level_bqm3","county","floor","measurement_date"
85,229.672076588823,"County A",NA,2020-06-30
86,104.835618290489,"County D","Ground",2021-03-20
87,106.271302539005,"County C","Second",2021-07-07
88,133.681332387289,"County D","First",2020-02-20
89,173.502378539933,"County D","First",2021-12-19
90,182.844474389496,"County B","Second",2020-02-17
91,4125.08751638234,"County D","First",2021-04-05
92,155.081544253984,"County A","First",2020-11-19
93,148.284280884097,"County C","Ground",2021-11-04
94,197.808258817031,"County D","First",2021-08-26
95,193.567689460082,"County C","Ground",2021-11-02
96,137.508772222619,"County A","Second",2021-05-04
97,151.839750666477,"County B","First",2021-09-04
98,176.108904536062,"County C","First",2021-11-12
99,83.8602945361214,"County A","Second",2020-07-12
100,137.589161380798,"County D","First",2021-11-20
101,172.994915360099,"","Ground",2020-07-20
102,129.070713824795,"County B","First",2020-07-06
103,147.603271946072,"County B","Ground",2020-02-05
104,149.159698582652,"County A",NA,2021-02-27
105,121.053871427348,"County B","First",2021-04-17
106,110.220806552864,"County D","First",2020-06-21
107,142.005310600075,"County B","Ground",2020-12-22
108,136.118887087717,"County B","Ground",2020-12-02
109,183.363802626458,"County A",NA,2020-04-24
110,211.195288499797,"County C","First",2020-02-08
111,149.523104825334,"County C","First",2020-09-30
112,165.946879699662,"County D","First",2020-07-08
113,147.183387443771,"County C","Ground",2020-01-23
114,174.054393755245,"County B","First",2021-11-22
115,158.739818491152,"County B","Ground",2020-02-27
116,159.463820074408,"County D","Ground",2020-12-31
117,194.51660510464,"County B","Second",2021-07-30
118,110.503154024182,"County A","First",2021-01-22
119,207.91456052502,"County C",NA,2020-10-20
120,163.964496487193,"County B","Ground",2020-10-18
121,157.232880428488,"County A","First",2021-06-08
122,127.590325954777,"County D","First",2020-04-25
123,143.444896336699,"County C","First",2021-04-10
124,164.947392177218,"County B","First",2020-06-09
125,67.4514297040631,"County B","Ground",2020-10-19
126,125.939122046476,"County D","Second",2021-06-18
127,173.439664492232,"County A",NA,2020-05-29
128,138.220728545929,"County D","Ground",2021-06-06
129,117.978898180629,"County C","Second",2021-12-12
130,124.5722187546,"County B",NA,2021-09-02
131,159.429961296562,"County C","Ground",2021-08-12
132,84.6067046060997,"County A","First",2020-02-26
133,184.849169623288,"County D","Ground",2020-01-02
134,63.2426130225621,"County B","First",2021-07-08
135,129.866419107378,"County B","First",2021-06-17
136,118.512700841061,"County D","Second",2020-02-14
137,100.055991618063,"County A","Ground",2020-05-21
138,106.883706395482,"County B","Second",2021-07-28
139,160.003094144224,"County C","Ground",2021-01-01
140,145.209038751365,"County A","First",2021-08-14
141,137.965894701886,"County C","Ground",2020-09-06
142,NA,"County B","Second",2021-04-11
143,97.0271715401686,"County C","First",2020-12-27
144,144.747715501492,"County B","First",2021-08-23
145,114.878593879478,"County D","First",2020-01-17
146,118.12924278756,"County D",NA,2020-12-12
147,191.981628519908,"County A","Second",2021-12-31
148,157.023533940694,"County A",NA,2021-12-25
149,108.246215134449,"County C","First",2021-03-20
150,131.252159399911,"County B","First",2021-02-01
151,138.603860737965,"County B",NA,2020-02-25
152,122.788192750596,"County A","First",2021-04-02
153,111.437855580217,"County D","Ground",2021-09-09
154,147.927836719984,"County D","Ground",2020-08-14
155,179.647788780791,"County A","Ground",2021-07-04
156,159.074080142692,"County B","First",2020-06-21
157,141.99411949137,"County B","First",2020-12-23
158,165.512809790753,"County D","Ground",2020-09-09
159,181.75673468206,"County B","Second",2020-03-13
160,144.379441670065,"County A","Ground",2021-08-23
161,168.232207957835,"County B","Ground",2020-01-21
162,104.177083716561,"County A","Ground",2021-05-12
163,140.013972473245,"County D",NA,2021-06-05
164,133.188068980238,"County C","First",2020-11-17
165,157.826580142402,"County C","Second",2021-04-27
166,164.292780553719,"County C","First",2021-03-26
167,145.055280840106,"County C","Second",2021-03-12
168,119.351431088408,"County A","Ground",2021-04-23
169,112.811431328611,"County A","First",2020-05-29
170,161.140824424083,"County C","Second",2020-07-19
171,204.273474091017,"County C","Ground",2021-10-10
172,118.514576202812,"County C","Ground",2021-04-27
173,134.608053108112,"County C","First",2021-04-25
174,-8.37214978940319,"County C","Second",2021-08-06
175,127.815181997487,"County B","First",2020-02-17
176,154.862892592818,"County C","First",2020-07-27
177,NA,"County B","Second",2021-12-16
178,118.949936377333,"County D","Ground",2020-07-12
179,183.257650045532,"County B","Ground",2020-07-12
180,183.852313488919,"County C","Ground",2021-12-18
181,190.965580266288,"County B","Ground",2020-04-26
182,200.719863447295,"County D","First",2021-10-03
183,129.745528483097,"County A",NA,2020-09-18
184,131.420724139668,"County A","Second",2020-08-31
185,160.44872001967,"County D","First",2020-07-31
186,175.203239062065,"County D","First",2021-10-03
187,136.414953751004,"County A","Ground",2021-10-06
188,133.066207663981,"County D",NA,2020-10-05
189,125.269138897814,"County A","Second",2021-03-28
190,209.28807562907,"County A",NA,2021-02-10
191,49.673345918341,"County A","First",2020-01-26
192,143.296878648645,"County C","Second",2021-02-24
193,151.528515082141,"County B","Second",2021-09-22
194,107.615615880257,"County A","First",2020-01-11
195,165.417035792826,"County D","First",2021-03-16
196,71.3164926475958,"County A","Second",2021-10-03
197,188.198754444477,"County C","First",2021-04-19
198,83.4655766051762,"County A","Ground",2020-10-04
199,61.890604796119,"County C","First",2021-09-04
200,119.457446968319,"County B","First",2021-12-03
201,156.483215756493,"","First",2021-06-22
202,NA,"",NA,2021-08-15
203,127.628520188895,"County B","Ground",2021-12-01
204,163.328199002311,"County A","Ground",2020-02-24
205,107.643963140462,"County D","Ground",2021-12-03
206,146.566018169581,"County B","First",2020-05-10
207,169.917319717176,"County B","First",2020-08-12
208,215.359586268344,"County D","Ground",2021-04-07
209,169.178075249608,"County C","First",2020-08-13
210,218.59051968667,"County B","Ground",2020-11-24
211,168.126401341189,"County D","Ground",2021-08-30
212,149.870354926986,"County A","Ground",2021-04-29
213,59.7386057500243,"County A","First",2021-07-17
214,101.013657922774,"County D","Ground",2020-08-23
215,137.241495050471,"County C","Ground",2020-08-25
216,178.490818234151,"County C","Ground",2020-10-12
217,137.099457072873,"County A","Ground",2020-05-26
218,171.745944850193,"County A","First",2021-09-01
219,107.44754592645,"County D",NA,2021-06-20
220,139.034811305978,"County C","Second",2020-08-26
221,158.680241299086,"County B","First",2021-05-12
222,135.624571273376,"County A","First",2020-01-06
223,154.513267799326,"County D","Ground",2021-04-27
224,NA,"County B","First",2021-07-28
225,164.97380893038,"County C","Ground",2020-01-23
226,146.75780429955,"County B","Ground",2020-06-01
227,148.118026133875,"County C","Second",2021-10-27
228,72.0485165421542,"County D","Second",2020-08-20
229,123.05325674885,"County C","First",2020-12-24
230,90.4142366040701,"County B","First",2020-05-31
231,85.7712776951878,"County B","First",2021-07-12
232,130.244675966191,"County C","Second",2020-01-18
233,143.568065290176,"County B","Ground",2021-03-02
234,161.344009032025,"County B","Ground",2020-06-18
235,193.650506012013,"County B","Ground",2021-01-18
236,167.776011876903,"County A","Ground",2020-07-19
237,190.482813630339,"County A","Second",2021-07-08
238,128.947588494619,"County C","Second",2021-08-18
239,137.686393072449,"County C","First",2020-06-28
240,193.40675537705,"County B","Ground",2020-07-17
241,150.048287357524,"County D",NA,2020-06-11
242,82.790211372665,"County D","Ground",2021-09-07
243,116.137779236315,"County A","Ground",2020-05-09
244,190.303682393309,"County B","Second",2020-08-08
245,125.570509692902,"County C","First",2021-01-17
246,163.337765311085,"County A","First",2021-12-15
247,150.568907827226,"County A","First",2020-08-28
248,130.145695706013,"County D","Ground",2021-07-06
249,135.968544303745,"County D","Ground",2021-09-29
250,11.3329411246782,"County B","Second",2020-08-18
251,11.7790003945446,"County A","Second",2020-01-11
252,9.62575714452678,"County D","Ground",2020-09-13
253,6.89272731414818,"County C","First",2021-07-09
254,10.6528053435592,"County B","Ground",2020-02-02
255,9.57077605587101,"County B","Ground",2021-04-08
256,178.213382129767,"County B","Second",2021-03-20
257,241.27867822908,"County A","Ground",2021-05-13
258,131.452679475851,"County B","First",2020-03-18
259,136.945857123669,"County B","Ground",2020-10-02
260,185.299728415918,"County B","First",2021-12-07
261,201.251445060179,"County B","Second",2020-12-09
262,123.652725735801,"County D","Ground",2020-02-24
263,176.582818197777,"County D",NA,2020-06-30
264,127.393699438306,"County B","Second",2020-09-30
265,111.51286919031,"County B","Ground",2021-04-02
266,174.93443607601,"County B","Second",2021-10-06
267,154.259910888043,"County A","First",2020-07-07
268,165.573235125689,"County D","Ground",2021-08-17
269,126.779860131122,"County A","First",2021-02-17
270,221.799118237071,"County D","First",2020-05-22
271,176.611520361908,"County B",NA,2020-11-28
272,135.023902973919,"County A","First",2021-02-06
273,178.109957240418,"County B","Ground",2020-11-02
274,101.419424644253,"County D","Ground",2020-09-14
275,144.489994922031,"County C","Ground",2021-09-23
276,206.134315947221,"County A","Ground",2020-02-17
277,142.446427535826,"County D","Ground",2021-09-09
278,186.419614879822,"County C","First",2021-07-05
279,141.123119992404,"County B","First",2020-03-04
280,58.078943987751,"County B","Ground",2021-10-01
281,114.791498177356,"County D","Ground",2021-07-17
282,158.909427561399,"County B","First",2021-07-14
283,207.86210843736,"County A","Ground",2020-10-16
284,126.263914999967,"County B","Ground",2020-03-23
285,161.039160455302,"County B",NA,2021-01-14
286,111.407228420817,"County B","Ground",2021-05-14
287,109.341750346648,"County D","First",2021-09-05
288,118.907334263327,"",NA,2021-09-23
289,204.762482693343,"County D",NA,2021-09-23
290,187.612403596436,"County B","First",2020-05-29
291,173.746606292708,"County A","Second",2021-12-26
292,194.618502137459,"County C","Ground",2020-05-04
293,133.02300013066,"County B","Ground",2020-03-01
294,180.383077475725,"County B","Ground",2021-01-27
295,158.385171114862,"County C","Ground",2020-02-16
296,108.035963007487,"County D","Ground",2021-04-30
297,116.75751110873,"County C","First",2020-07-04
298,152.002117276766,"County B","Ground",2021-08-13
299,158.225202459862,"N/A","Ground",2020-02-29
300,137.145663253561,"County B","Ground",2020-11-10
301,110.140350248539,"County B","First",2021-01-02
302,66.3643223804337,"County B","Second",2021-10-22
303,167.009419177644,"County D","Second",2020-03-31
304,138.189131634516,"County B","First",2021-06-14
305,171.966435327251,"County B","First",2020-08-31
306,88.1643274699934,"County B","Second",2020-10-27
307,99.8665625875023,"County D","First",2021-01-20
308,145.546725013121,"County A","Ground",2021-04-06
309,93.4874585747319,"County A","Ground",2020-11-15
310,70.6818459711716,"County A","First",2021-04-28
311,181.343816313343,"","Ground",2021-07-31
312,186.034773589981,"County A","Ground",2021-02-06
313,108.80145431982,"County B","First",2021-05-11
314,139.117709257336,"County B","First",2020-03-06
315,104.64108379315,"County A","Second",2020-09-17
316,162.657076670119,"County A","First",2020-09-24
317,148.81286795992,"County B","First",2021-01-19
318,115.221581961625,"County B","Second",2021-05-26
319,119.031298244153,"County B","Second",2020-02-04
320,107.516752262872,"County C","Ground",2021-11-19
321,167.454970487702,"County A",NA,2021-06-27
322,172.840353912564,"County B","Ground",2020-06-21
323,165.058995776635,"County B",NA,2020-11-15
324,116.284412103361,"County B","First",2021-08-05
325,78.5532148705891,"County B","Ground",2021-12-09
326,171.235026526179,"County D","Second",2021-08-15
327,1954.04221769422,"County B","Second",2020-10-04
328,148.42430600114,"County C","First",2020-02-25
329,191.285119394935,"County A","Ground",2021-07-28
330,114.259366623936,"County B","First",2021-07-21
331,195.760613027401,"County A","Second",2021-01-16
332,NA,"County C","First",2020-06-03
333,121.472487129759,"County A","First",2021-03-18
334,141.770154247297,"County D","First",2020-09-28
335,165.600789153714,"County B","First",2020-05-22
336,141.711374189771,"County D","First",2021-04-09
337,113.979711178086,"County A","Ground",2021-05-23
338,138.735028848369,"County C","First",2021-03-18
339,48.3227559544808,"County B","Second",2020-01-30
340,129.659532725102,"County C","Ground",2020-07-29
341,168.238648701561,"County C","First",2020-03-18
342,143.229609018717,"County A","Second",2021-06-12
343,177.533108890449,"County C","Ground",2021-01-02
344,169.439297358978,"County D","First",2021-04-14
345,175.825869854224,"County C","First",2021-11-19
346,176.241797801019,"County B","Second",2021-11-09
347,80.4567695450294,"County B","First",2021-10-16
348,150.166387200738,"County D",NA,2021-03-18
349,215.202693384273,"County B",NA,2021-02-18
350,130.780590918223,"County A","First",2021-08-31
351,168.112097696823,"County D","Ground",2020-03-04
352,155.735749239197,"County C","Ground",2021-02-12
353,172.280489007521,"County A",NA,2020-12-30
354,139.118795313179,"County B","First",2020-05-10
355,124.06802813936,"County B","Ground",2021-07-15
356,152.878433774626,"County A","Ground",2020-04-02
357,158.312593228137,"County C","First",2020-06-27
358,142.586708412645,"County B","Ground",2021-12-24
359,151.257626601058,"County C","Ground",2021-09-22
360,166.454077347631,"County B","Ground",2020-09-27
361,118.952644381501,"County D","Ground",2021-06-30
362,NA,"","Ground",2021-11-13
363,238.030410829864,"County C","Second",2021-10-28
364,209.088213149394,"County D","Second",2020-09-22
365,131.823285971697,"County D","First",2020-01-31
366,NA,"County B","Ground",2020-08-07
367,152.167918284384,"County B","First",2021-02-04
368,185.210928824163,"County D","Second",2021-01-20
369,181.124267917427,"County C","Ground",2020-11-12
370,100.81012901153,"County B","First",2020-03-18
371,105.474059570264,"County D","Ground",2020-07-12
372,155.349785395105,"","First",2021-01-31
373,175.043253815074,"County A","Ground",2020-03-04
374,184.917266554218,"County D","Second",2021-04-10
375,182.655679157558,"County D","First",2020-01-25
376,111.28098032134,"County C",NA,2021-09-24
377,97.4957977520006,"County B","Second",2021-09-04
378,69.4992088816286,"County D","First",2021-03-11
379,170.197307909113,"County A","Second",2021-07-24
380,183.124462630777,"County D","Ground",2021-02-27
381,163.434027553002,"County D","Ground",2021-03-31
382,107.635022159547,"County D","First",2021-06-04
383,212.708669997974,"County C","First",2020-01-19
384,135.194135025464,"County A","Second",2020-11-11
385,221.161534459828,"County C","First",2021-05-26
386,172.056080203223,"County D","First",2021-09-21
387,197.612425803421,"County B","First",2020-03-11
388,163.224089051776,"County B",NA,2021-12-31
389,147.413910876005,"County A",NA,2021-07-31
390,109.498077265071,"County D",NA,2021-10-15
391,127.659432392346,"County C","Ground",2020-09-19
392,148.115686548943,"County A","First",2020-09-23
393,161.282962719402,"County A","First",2021-11-07
394,148.671231506756,"County A","Ground",2020-11-05
395,142.881120436263,"County A","First",2021-07-02
396,157.339420677682,"County C",NA,2021-12-01
397,129.025118296099,"County D","Ground",2021-10-29
398,128.56250174642,"County D","First",2021-06-20
399,91.771811933759,"County B","Ground",2020-03-31
400,183.85085881072,"County C","Ground",2021-10-03
401,151.877294720061,"County D","First",2021-06-01
402,146.655030662906,"County D","Ground",2020-07-04
403,120.363255409003,"County D","First",2021-07-25
404,140.089045443904,"County A","First",2020-04-08
405,106.528685771948,"County C","Second",2021-01-25
406,108.02810590589,"County B","Ground",2020-01-21
407,73.2419291317362,"County D","Ground",2020-03-22
408,189.267950905937,"County B","First",2020-12-04
409,155.038563285812,"County B",NA,2020-07-03
410,105.328944977823,"County A","Ground",2021-09-19
411,196.551464149836,"County C","Ground",2020-01-14
412,174.983667334765,"County D","Second",2021-07-23
413,179.695290983387,"County C","Ground",2021-05-09
414,140.969177322287,"County C",NA,2021-11-07
415,133.085119736574,"County B","Ground",2021-06-19
416,146.07788391974,"County D","First",2021-03-26
417,166.187626249503,"County D","Second",2021-12-31
418,181.996584265645,"County B","Ground",2020-04-17
419,213.578765998277,"County B","First",2020-09-25
420,129.637183834509,"County C","First",2020-03-11
421,109.377410073941,"County A","First",2020-07-12
422,154.034346624417,"County C",NA,2021-04-30
423,270.884167411615,"County A","Ground",2020-08-26
424,132.855366196652,"County C","Ground",2020-02-10
425,195.82724871139,"County A",NA,2021-02-10
426,140.276071616596,"County B","Ground",2020-08-29
427,130.858270489445,"County D","Second",2021-11-20
428,121.583315111698,"County D","Ground",2020-04-11
429,141.550214891296,"County C","Ground",2021-11-07
430,215.671378835017,"County C","Ground",2021-10-17
431,162.073868822538,"County C","Ground",2021-02-25
432,169.493164928611,"County C","Ground",2021-01-17
433,NA,"County C","Second",2021-11-07
434,232.86966051544,"County A","First",2021-02-07
435,181.024753683181,"County D","Second",2021-05-09
436,92.9155458819226,"County B",NA,2021-11-22
437,108.659546581354,"County B","Ground",2021-03-15
438,86.421795456327,"County C","Second",2020-02-20
439,36.0581292042485,"County D","First",2021-01-09
440,201.629357111704,"County D","Ground",2021-04-09
441,130.251045028704,"County B","Ground",2021-03-10
442,165.798827108241,"County B","Ground",2020-04-15
443,197.264714125757,"County B","Ground",2020-12-15
444,129.526692216781,"County C","First",2020-03-20
445,144.601294053511,"County B","First",2021-10-13
446,164.010247180978,"County B","Ground",2021-10-25
447,159.035168872705,"County C","First",2020-07-04
448,119.027390016476,"County B","Ground",2021-01-16
449,179.232624400264,"County B","Ground",2020-12-02
450,171.825421129699,"County D","Ground",2020-02-25
451,138.46202816314,"County A","Second",2020-11-06
452,101.10476356564,"County C","First",2021-12-16
453,175.333343822743,"County C","Second",2021-06-09
454,-4.21046773889102,"County D","Second",2020-01-21
455,205.220699735574,"County D","Ground",2021-10-21
456,184.905382671813,"County B","Second",2020-08-04
457,130.674597253909,"County B","First",2021-09-08
458,128.746123220378,"County C","First",2020-09-10
459,126.492609736564,"County A","Second",2020-10-16
460,133.5320852405,"County A",NA,2020-12-19
461,178.367424850135,"County C","Second",2021-11-12
462,160.255870141426,"County D",NA,2020-09-30
463,75.7455765478079,"County A","Ground",2021-10-12
464,75.5764948074219,"County A","Ground",2020-03-29
465,149.086636250626,"County B","Ground",2021-11-09
466,155.997549891242,"County B","Second",2021-11-17
467,57.7010263185883,"County D","First",2021-02-13
468,117.342110967516,"County A","First",2021-07-21
469,151.102446067867,"County A","Ground",2020-05-04
470,208.471436607059,"County A","Ground",2021-11-11
471,69.4852508671087,"County A","Ground",2021-10-20
472,99.7822288807209,"County C",NA,2020-12-02
473,106.787726111271,"County C","Second",2020-08-11
474,157.015843145954,"County B","First",2021-10-11
475,163.23356885657,"County D","Ground",2020-05-14
476,137.172430747984,"County B","Ground",2021-08-15
477,85.5068524820006,"County A","Ground",2021-05-19
478,124.777903325427,"County A","Second",2020-04-29
479,127.580560533765,"County D","First",2020-10-24
480,141.896748623319,"County D","Second",2021-07-22
481,214.915407245267,"County D","Ground",2020-06-21
482,122.92917878248,"County A","First",2020-05-19
483,153.050576205548,"County B","Ground",2020-01-03
484,121.784066334924,"County B","First",2021-11-08
485,100.390886038243,"County B","First",2020-06-05
486,175.437915914744,"County B","Second",2020-09-22
487,107.97485281389,"County A","Ground",2020-07-18
488,259.408367584888,"County A","First",2021-02-16
489,153.702517513089,"County C","First",2020-02-20
490,152.410143043147,"County B","Second",2021-12-14
491,147.338191559566,"County B","First",2020-01-14
492,223.745821601602,"County C","First",2020-11-17
493,176.557084416144,"County B","Second",2021-07-17
494,139.960374250081,"County B","Ground",2020-02-28
495,103.352407735567,"County B","First",2021-01-26
496,108.450889571302,"County D","Ground",2021-09-30
497,118.600427786508,"County D","First",2020-05-05
498,198.597937239132,"County D",NA,2021-03-28
499,-3.00565927685238,"County D",NA,2021-03-27
500,119.712055092807,"County D","First",2021-07-22
